Date,Away Team,Home Team,Away Final,Home Final,Away Record After,Home Record After,Away Rank Prior,Home Rank Prior
"Week 1, 2016",ole miss,florida state,-11.0,11.0,(0-1),(1-0),11,4
"Week 1, 2016",fcs_team,old dominion,-33.0,33.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",notre dame,texas,0.0,0.0,(0-1),(1-0),10,Unranked
"Week 1, 2016",georgia tech,boston college,3.0,-3.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",boise state,ul lafayette,35.0,-35.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,mississippi state,1.0,-1.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",western michigan,fcs_team,1.0,-1.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,maryland,-39.0,39.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",oklahoma,houston,-10.0,10.0,(0-1),(1-0),3,15
"Week 1, 2016",hawaii,michigan,-60.0,60.0,(0-2),(1-0),Unranked,7
"Week 1, 2016",missouri,west virginia,-15.0,15.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,navy,-36.0,36.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",bowling green,ohio state,-67.0,67.0,(0-1),(1-0),Unranked,6
"Week 1, 2016",fcs_team,fcs_team,-21.0,21.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,virginia tech,-23.0,23.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,pittsburgh,-21.0,21.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",rutgers,washington,-35.0,35.0,(0-1),(1-0),Unranked,14
"Week 1, 2016",fcs_team,fcs_team,-16.0,16.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,fcs_team,-54.0,54.0,(0-1),(1-0),Unranked,21
"Week 1, 2016",lsu,wisconsin,-2.0,2.0,(0-1),(1-0),5,Unranked
"Week 1, 2016",miami (ohio),iowa,-24.0,24.0,(0-1),(1-0),Unranked,17
"Week 1, 2016",ucla,texas a&m,-7.0,7.0,(0-1),(1-0),16,Unranked
"Week 1, 2016",kent state,penn state,-20.0,20.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",texas state,ohio,0.0,0.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,virginia,17.0,-17.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,illinois,-49.0,49.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",louisiana tech,arkansas,-1.0,1.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,oregon,-25.0,25.0,(0-1),(1-0),Unranked,24
"Week 1, 2016",georgia,north carolina,9.0,-9.0,(1-0),(0-1),18,22
"Week 1, 2016",fcs_team,michigan,-67.0,67.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,troy,-40.0,40.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,georgia southern,-54.0,54.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,fcs_team,-45.0,45.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,duke,-43.0,43.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,fau,-8.0,8.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,akron,-23.0,23.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",smu,north texas,13.0,-13.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",san jose state,tulsa,-35.0,35.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,utsa,-13.0,13.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,middle tennessee state,-55.0,55.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,ul monroe,-17.0,17.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,south florida,-36.0,36.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,ucf,-38.0,38.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,kansas,-49.0,49.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,fcs_team,-18.0,18.0,(0-0),(0-0),Unranked,Unranked
